TimeStamp,Counter,RelativeDistance,RelativeSpeed,LeadVehicleSpeed,HostVehicleSpeed
1712345733.5915,564.0,27.193,-0.04,4.5,4.54
1712345733.73,565.0,26.787,-0.05,4.5,4.55
1712345733.7918,566.0,28.198,-0.06,4.5,4.56
1712345733.892,567.0,27.793,-0.06,4.5,4.56
1712345733.9937,568.0,27.371,-0.06,4.5,4.56
1712345734.0924,569.0,26.939,-0.07,4.5,4.57
1712345734.1927,570.0,26.408,-0.07,4.5,4.57
1712345734.2928,571.0,28.021,-0.07,4.5,4.57
1712345734.393,572.0,27.562,-0.07,4.5,4.57
1712345734.4931,573.0,27.026,-0.08,4.5,4.58
1712345734.5933,574.0,26.633,-0.08,4.5,4.58
1712345734.6934,575.0,29.334,-0.08,4.5,4.58
1712345734.7937,576.0,28.901,-0.08,4.5,4.58
1712345734.8938,577.0,28.448,-0.09,4.5,4.59
1712345734.9941,578.0,27.974,-0.09,4.5,4.59
1712345735.0942,579.0,27.542,-0.09,4.5,4.59
1712345735.1944,580.0,27.029,-0.09,4.5,4.59
1712345735.2946,581.0,26.596,-0.1,4.5,4.6
1712345735.3948,582.0,28.105,-0.1,4.5,4.6
1712345735.4949,583.0,27.613,-0.11,4.5,4.61
1712345735.5954,584.0,27.136,-0.1,4.5,4.6
1712345735.6954,585.0,26.742,-0.1,4.5,4.6
1712345735.7957,586.0,26.166,-0.11,4.5,4.61
1712345735.8959,587.0,27.626,-0.11,4.5,4.61
1712345735.9961,588.0,27.237,-0.12,4.5,4.62
1712345736.0961,589.0,26.7,-0.11,4.5,4.61
1712345736.1966,590.0,26.27,-0.12,4.5,4.62
1712345736.2967,591.0,27.705,-0.12,4.5,4.62
1712345736.397,592.0,27.299,-0.12,4.5,4.62
1712345736.497,593.0,26.76,-0.11,4.5,4.61
1712345736.5974,594.0,26.348,-0.11,4.5,4.61
1712345736.6974,595.0,27.718,-0.1,4.5,4.6
1712345736.7977,596.0,27.262,-0.1,4.5,4.6
1712345736.8977,597.0,26.8,-0.08,4.5,4.58
1712345736.9979,598.0,26.367,-0.08,4.5,4.58
1712345737.17,599.0,27.665,-0.07,4.5,4.57
1712345737.2039,600.0,27.024,-0.06,4.5,4.56
1712345737.3045,601.0,26.763,-0.06,4.5,4.56
1712345737.4044,602.0,26.334,-0.04,4.5,4.54
1712345737.5045,603.0,28.073,-0.04,4.5,4.54
1712345737.6046,604.0,27.658,-0.04,4.5,4.54
1712345737.7049,605.0,27.246,-0.02,4.5,4.52
1712345737.8167,606.0,26.731,-0.01,4.5,4.51
1712345737.9052,607.0,26.298,-0.01,4.5,4.51
1712345738.0054,608.0,27.716,-0.0,4.5,4.5
1712345738.1056,609.0,27.256,0.01,4.5,4.49
1712345738.2057,610.0,26.846,0.01,4.5,4.49
1712345738.3059,611.0,26.406,0.02,4.5,4.48
1712345738.406,612.0,27.58,0.03,4.5,4.47
1712345738.5063,613.0,27.11,0.03,4.5,4.47
1712345738.6065,614.0,26.765,0.04,4.5,4.46
1712345738.7068,615.0,26.319,0.04,4.5,4.46
1712345738.8069,616.0,28.994,0.05,4.5,4.45
1712345738.9075,617.0,28.598,0.05,4.5,4.45
1712345739.0077,618.0,28.124,0.05,4.5,4.45
1712345739.1078,619.0,27.764,0.06,4.5,4.44
1712345739.2079,620.0,27.304,0.06,4.5,4.44
1712345739.3081,621.0,26.831,0.06,4.5,4.44
1712345739.4082,622.0,26.383,0.05,4.5,4.45
1712345739.5084,623.0,25.994,0.05,4.5,4.45
1712345739.6086,624.0,27.089,0.05,4.5,4.45
1712345739.7087,625.0,26.653,0.04,4.5,4.46
1712345739.8088,626.0,26.261,0.04,4.5,4.46
1712345739.909,627.0,25.821,0.03,4.5,4.47
1712345740.0093,628.0,26.945,0.02,4.5,4.48
1712345740.1095,629.0,26.514,0.01,4.5,4.49
1712345740.2096,630.0,26.104,0.01,4.5,4.49
1712345740.3098,631.0,25.644,0.01,4.5,4.49
1712345740.4099,632.0,26.728,0.01,4.5,4.49
1712345740.5102,633.0,26.318,0.01,4.5,4.49
1712345740.6103,634.0,25.871,0.01,4.5,4.49
1712345740.7105,635.0,25.446,0.02,4.5,4.48
1712345740.8106,636.0,28.188,0.03,4.5,4.47
1712345740.9107,637.0,27.804,0.04,4.5,4.46
1712345741.0109,638.0,27.307,0.05,4.5,4.45
1712345741.111,639.0,26.891,0.06,4.5,4.44
1712345741.2111,640.0,26.486,0.07,4.5,4.43
1712345741.3352,641.0,26.058,0.08,4.5,4.42
1712345741.4116,642.0,25.543,0.09,4.5,4.41
1712345741.5117,643.0,25.238,0.1,4.5,4.4
1712345741.6118,644.0,26.429,0.11,4.5,4.39
1712345741.712,645.0,26.056,0.12,4.5,4.38
1712345741.8121,646.0,25.659,0.13,4.5,4.37
1712345741.9122,647.0,25.107,0.14,4.5,4.36
1712345742.0123,648.0,27.188,0.15,4.5,4.35
1712345742.1124,649.0,26.763,0.16,4.5,4.34
1712345742.2391,650.0,26.353,0.17,4.5,4.33
1712345742.3127,651.0,25.781,0.18,4.5,4.32
1712345742.4129,652.0,25.506,0.18,4.5,4.32
1712345742.513,653.0,25.107,0.19,4.5,4.31
1712345742.6132,654.0,27.103,0.2,4.5,4.3
1712345742.7133,655.0,26.744,0.21,4.5,4.29
1712345742.8136,656.0,26.281,0.22,4.5,4.28
1712345742.9137,657.0,25.945,0.23,4.5,4.27
1712345743.014,658.0,25.533,0.23,4.5,4.27
1712345743.1141,659.0,25.133,0.24,4.5,4.26
1712345743.2142,660.0,24.744,0.25,4.5,4.25
1712345743.3144,661.0,26.19,0.26,4.5,4.24
1712345743.4145,662.0,25.827,0.27,4.5,4.23
1712345743.5146,663.0,25.391,0.27,4.5,4.23
1712345743.6147,664.0,25.012,0.28,4.5,4.22
1712345743.7148,665.0,26.411,0.28,4.5,4.22
1712345743.815,666.0,26.072,0.29,4.5,4.21
1712345743.9151,667.0,25.681,0.3,4.5,4.2
1712345744.0153,668.0,25.345,0.3,4.5,4.2
1712345744.1154,669.0,24.946,0.31,4.5,4.19
1712345744.2155,670.0,23.748,0.31,4.5,4.19
1712345744.3156,671.0,23.39,0.32,4.5,4.18
1712345744.4157,672.0,24.892,0.32,4.5,4.18
1712345744.5161,673.0,24.514,0.33,4.5,4.17
1712345744.6162,674.0,24.113,0.33,4.5,4.17
1712345744.7163,675.0,23.764,0.34,4.5,4.16
1712345744.8165,676.0,25.189,0.35,4.5,4.15
1712345744.9166,677.0,24.821,0.36,4.5,4.14
1712345745.0168,678.0,24.486,0.37,4.5,4.13
1712345745.1169,679.0,24.092,0.38,4.5,4.12
1712345745.217,680.0,25.56,0.41,4.5,4.09
1712345745.3172,681.0,25.231,0.43,4.5,4.07
