TimeStamp, Counter, HostVehicleSpeed
1712345677.0281,1424.0,0.0
1712345677.1281,1425.0,0.0
1712345677.2276,1426.0,0.0
1712345677.3276,1427.0,0.0
1712345677.4277,1428.0,0.0
1712345677.5282,1429.0,0.0
1712345677.6281,1430.0,0.0
1712345677.7279,1431.0,0.0
1712345677.828,1432.0,0.0
1712345677.9281,1433.0,0.0
1712345678.0283,1434.0,0.0
1712345678.1279,1435.0,0.0
1712345678.2281,1436.0,0.0
1712345678.3281,1437.0,0.0
1712345678.4279,1438.0,0.0
1712345678.5278,1439.0,0.0
1712345678.6279,1440.0,0.0
1712345678.7277,1441.0,0.0
1712345678.8277,1442.0,0.0
1712345678.9279,1443.0,0.0
1712345679.0279,1444.0,0.68
1712345679.128,1445.0,0.81
1712345679.228,1446.0,0.93
1712345679.3276,1447.0,1.04
1712345679.4279,1448.0,1.16
1712345679.5276,1449.0,1.27
1712345679.6277,1450.0,1.41
1712345679.7286,1451.0,1.5
1712345679.8276,1452.0,1.6
1712345679.9283,1453.0,1.71
1712345680.0911,1454.0,1.78
1712345680.1284,1455.0,1.88
1712345680.2276,1456.0,1.97
1712345680.3278,1457.0,2.06
1712345680.4279,1458.0,2.14
1712345680.5276,1459.0,2.24
1712345680.628,1460.0,2.3
1712345680.728,1461.0,2.38
1712345680.8286,1462.0,2.46
1712345680.9279,1463.0,2.53
1712345681.0284,1464.0,2.6
1712345681.1275,1465.0,2.68
1712345681.2278,1466.0,2.74
1712345681.3282,1467.0,2.81
1712345681.4281,1468.0,2.88
1712345681.5272,1469.0,2.94
1712345681.628,1470.0,3.02
1712345681.7279,1471.0,3.11
1712345681.8284,1472.0,3.18
1712345681.9274,1473.0,3.28
1712345682.0281,1474.0,3.36
1712345682.1278,1475.0,3.45
1712345682.2282,1476.0,3.53
1712345682.3282,1477.0,3.62
1712345682.428,1478.0,3.71
1712345682.5284,1479.0,3.79
1712345682.6278,1480.0,3.89
1712345682.7275,1481.0,3.96
1712345682.8278,1482.0,4.04
1712345682.9277,1483.0,4.11
1712345683.0275,1484.0,4.19
1712345683.128,1485.0,4.26
1712345683.228,1486.0,4.31
1712345683.328,1487.0,4.37
1712345683.428,1488.0,4.42
1712345683.5278,1489.0,4.48
1712345683.6276,1490.0,4.53
1712345683.7273,1491.0,4.57
1712345683.8276,1492.0,4.61
1712345683.9279,1493.0,4.65
1712345684.0279,1494.0,4.68
1712345684.1274,1495.0,4.71
1712345684.2277,1496.0,4.73
1712345684.3278,1497.0,4.76
1712345684.4281,1498.0,4.78
1712345684.5276,1499.0,4.79
1712345684.6277,1500.0,4.82
1712345684.7276,1501.0,4.83
1712345684.8278,1502.0,4.85
1712345684.927,1503.0,4.86
1712345685.0277,1504.0,4.87
1712345685.1275,1505.0,4.87
1712345685.2272,1506.0,4.87
1712345685.3276,1507.0,4.88
1712345685.4277,1508.0,4.87
1712345685.5273,1509.0,4.88
1712345685.6275,1510.0,4.88
1712345685.7274,1511.0,4.87
1712345685.8276,1512.0,4.87
1712345685.9275,1513.0,4.86
1712345686.0276,1514.0,4.86
1712345686.1276,1515.0,4.85
1712345686.2322,1516.0,4.84
1712345686.3275,1517.0,4.83
1712345686.4275,1518.0,4.83
1712345686.5274,1519.0,4.82
1712345686.6277,1520.0,4.81
1712345686.7278,1521.0,4.8
1712345686.8275,1522.0,4.79
1712345686.9275,1523.0,4.78
1712345687.0269,1524.0,4.77
1712345687.1275,1525.0,4.76
1712345687.2278,1526.0,4.75
1712345687.3274,1527.0,4.73
1712345687.4277,1528.0,4.72
1712345687.5274,1529.0,4.72
1712345687.6273,1530.0,4.69
1712345687.7273,1531.0,4.69
1712345687.8275,1532.0,4.68
1712345687.9274,1533.0,4.66
1712345688.0274,1534.0,4.65
1712345688.1269,1535.0,4.64
1712345688.2274,1536.0,4.63
1712345688.327,1537.0,4.62
1712345688.4273,1538.0,4.61
1712345688.5271,1539.0,4.6
1712345688.6272,1540.0,4.59
1712345688.7274,1541.0,4.57
1712345688.8621,1542.0,4.56
1712345688.9277,1543.0,4.55
1712345689.0274,1544.0,4.54
1712345689.1272,1545.0,4.53
1712345689.2274,1546.0,4.52
1712345689.3267,1547.0,4.52
1712345689.4274,1548.0,4.51
1712345689.5267,1549.0,4.5
1712345689.6282,1550.0,4.5
1712345689.7277,1551.0,4.51
1712345689.8273,1552.0,4.51
1712345689.9274,1553.0,4.52
1712345690.0275,1554.0,4.52
1712345690.1272,1555.0,4.53
1712345690.2272,1556.0,4.53
1712345690.3273,1557.0,4.54
1712345690.4279,1558.0,4.54
1712345690.5267,1559.0,4.54
1712345690.6274,1560.0,4.54
1712345690.7376,1561.0,4.55
1712345690.8274,1562.0,4.55
1712345690.9273,1563.0,4.55
1712345691.0278,1564.0,4.56
1712345691.1272,1565.0,4.55
1712345691.2274,1566.0,4.56
1712345691.3269,1567.0,4.56
1712345691.4274,1568.0,4.56
1712345691.5269,1569.0,4.56
1712345691.627,1570.0,4.55
1712345691.7273,1571.0,4.55
1712345691.8273,1572.0,4.55
1712345691.9575,1573.0,4.54
1712345692.1684,1574.0,4.52
1712345692.1704,1575.0,4.52
1712345692.2273,1576.0,4.52
1712345692.327,1577.0,4.52
1712345692.4273,1578.0,4.51
1712345692.5269,1579.0,4.51
1712345692.6273,1580.0,4.5
1712345692.7266,1581.0,4.49
1712345692.8269,1582.0,4.48
1712345692.9271,1583.0,4.48
1712345693.0271,1584.0,4.48
1712345693.1269,1585.0,4.47
1712345693.2275,1586.0,4.46
1712345693.3267,1587.0,4.46
1712345693.4269,1588.0,4.46
1712345693.5274,1589.0,4.45
1712345693.7163,1590.0,4.44
1712345693.7572,1591.0,4.43
1712345693.827,1592.0,4.42
1712345693.9268,1593.0,4.42
1712345694.0266,1594.0,4.42
1712345694.1271,1595.0,4.41
1712345694.2271,1596.0,4.41
1712345694.3313,1597.0,4.4
1712345694.4267,1598.0,4.39
1712345694.5272,1599.0,4.39
1712345694.6268,1600.0,4.38
1712345694.727,1601.0,4.38
