"rowID","Metadata,MulticastAddress","Metadata,StateVersion","Metadata,IsTerminated","Metadata,TimeOfCommit","Metadata,TimeOfReceipt","Metadata,Enum,Middleware::EventType","tspi.time.nanosecondsSince1970,Int64","Enum,TENA::RTcode,tspi.position.geodetic_asTransmitted.srf.rtCode (optional)","tspi.position.geodetic_asTransmitted.latitudeInDegrees,Float64 (optional)","tspi.position.geodetic_asTransmitted.longitudeInDegrees,Float64 (optional)","tspi.position.geodetic_asTransmitted.heightAboveEllipsoidInMeters,Float64 (optional)","Enum,VUG::Entities::Signals::TrafficLightState,currentState","const^Metadata,SDOid.hostIPaddress","const^Metadata,SDOid.processID","const^Metadata,SDOid.processCreateTimeSec","const^Metadata,SDOid.counter","const^Metadata,Enum,Middleware::CommunicationProperties","const^Metadata,ApplicationId","const^Metadata,Endpoint","const^Metadata,PublisherSessionId","const^Metadata,ReactivationCount","const^Metadata,TimeOfCreation","const^Metadata,TimeOfDiscovery","const^identifier,String","const^sourceIdentifier,String","const^Enum,VUG::LVCindicator,lvcIndicator","const^type,String","const^signalID,String"
22,"N/A",26,0,1700253391990881000,1700253392544290000,"StateChange",1700253389494071000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.40.36.12",947,1700253386,14,"Reliable",17,"10.40.36.12:40159",0,0,1700253389494148000,1700253392542008000,"9952","9952","VUG::LVCindicator_Live","Traffic Signal","9952"
23,"N/A",26,0,1700253391990922000,1700253392544325000,"StateChange",1700253389495126000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Green","10.40.36.12",947,1700253386,16,"Reliable",17,"10.40.36.12:40159",0,0,1700253389495173000,1700253392542785000,"9949","9949","VUG::LVCindicator_Live","Traffic Signal","9949"
24,"N/A",26,0,1700253391990961000,1700253392544373000,"StateChange",1700253389496143000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.40.36.12",947,1700253386,18,"Reliable",17,"10.40.36.12:40159",0,0,1700253389496196000,1700253392543224000,"9950","9950","VUG::LVCindicator_Live","Traffic Signal","9950"
25,"N/A",27,0,1700253392094887000,1700253392544412000,"StateChange",1700253389490497000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Green","10.40.36.12",947,1700253386,10,"Reliable",17,"10.40.36.12:40159",0,0,1700253389491874000,1700253392204693000,"9951","9951","VUG::LVCindicator_Live","Traffic Signal","9951"
26,"N/A",27,0,1700253392096269000,1700253392544453000,"StateChange",1700253389494071000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.40.36.12",947,1700253386,14,"Reliable",17,"10.40.36.12:40159",0,0,1700253389494148000,1700253392542008000,"9952","9952","VUG::LVCindicator_Live","Traffic Signal","9952"
27,"N/A",27,0,1700253392096428000,1700253392544492000,"StateChange",1700253389495126000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Green","10.40.36.12",947,1700253386,16,"Reliable",17,"10.40.36.12:40159",0,0,1700253389495173000,1700253392542785000,"9949","9949","VUG::LVCindicator_Live","Traffic Signal","9949"
28,"N/A",27,0,1700253392096535000,1700253392544525000,"StateChange",1700253389496143000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.40.36.12",947,1700253386,18,"Reliable",17,"10.40.36.12:40159",0,0,1700253389496196000,1700253392543224000,"9950","9950","VUG::LVCindicator_Live","Traffic Signal","9950"
29,"N/A",28,0,1700253392205301000,1700253392544563000,"StateChange",1700253389490497000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Green","10.40.36.12",947,1700253386,10,"Reliable",17,"10.40.36.12:40159",0,0,1700253389491874000,1700253392204693000,"9951","9951","VUG::LVCindicator_Live","Traffic Signal","9951"
30,"N/A",28,0,1700253392205413000,1700253392544598000,"StateChange",1700253389494071000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.40.36.12",947,1700253386,14,"Reliable",17,"10.40.36.12:40159",0,0,1700253389494148000,1700253392542008000,"9952","9952","VUG::LVCindicator_Live","Traffic Signal","9952"
31,"N/A",28,0,1700253392205547000,1700253392544637000,"StateChange",1700253389495126000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Green","10.40.36.12",947,1700253386,16,"Reliable",17,"10.40.36.12:40159",0,0,1700253389495173000,1700253392542785000,"9949","9949","VUG::LVCindicator_Live","Traffic Signal","9949"
32,"N/A",28,0,1700253392205636000,1700253392544670000,"StateChange",1700253389496143000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.40.36.12",947,1700253386,18,"Reliable",17,"10.40.36.12:40159",0,0,1700253389496196000,1700253392543224000,"9950","9950","VUG::LVCindicator_Live","Traffic Signal","9950"
33,"N/A",29,0,1700253392290892000,1700253392544719000,"StateChange",1700253389490497000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Green","10.40.36.12",947,1700253386,10,"Reliable",17,"10.40.36.12:40159",0,0,1700253389491874000,1700253392204693000,"9951","9951","VUG::LVCindicator_Live","Traffic Signal","9951"
34,"N/A",29,0,1700253392292397000,1700253392544752000,"StateChange",1700253389494071000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.40.36.12",947,1700253386,14,"Reliable",17,"10.40.36.12:40159",0,0,1700253389494148000,1700253392542008000,"9952","9952","VUG::LVCindicator_Live","Traffic Signal","9952"
35,"N/A",29,0,1700253392292448000,1700253392544790000,"StateChange",1700253389495126000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Green","10.40.36.12",947,1700253386,16,"Reliable",17,"10.40.36.12:40159",0,0,1700253389495173000,1700253392542785000,"9949","9949","VUG::LVCindicator_Live","Traffic Signal","9949"
36,"N/A",29,0,1700253392292486000,1700253392567519000,"StateChange",1700253389496143000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.40.36.12",947,1700253386,18,"Reliable",17,"10.40.36.12:40159",0,0,1700253389496196000,1700253392543224000,"9950","9950","VUG::LVCindicator_Live","Traffic Signal","9950"
37,"N/A",30,0,1700253392390123000,1700253392567569000,"StateChange",1700253389490497000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Green","10.40.36.12",947,1700253386,10,"Reliable",17,"10.40.36.12:40159",0,0,1700253389491874000,1700253392204693000,"9951","9951","VUG::LVCindicator_Live","Traffic Signal","9951"
38,"N/A",30,0,1700253392390205000,1700253392567721000,"StateChange",1700253389494071000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.40.36.12",947,1700253386,14,"Reliable",17,"10.40.36.12:40159",0,0,1700253389494148000,1700253392542008000,"9952","9952","VUG::LVCindicator_Live","Traffic Signal","9952"
39,"N/A",30,0,1700253392390245000,1700253392577123000,"StateChange",1700253389495126000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Green","10.40.36.12",947,1700253386,16,"Reliable",17,"10.40.36.12:40159",0,0,1700253389495173000,1700253392542785000,"9949","9949","VUG::LVCindicator_Live","Traffic Signal","9949"
40,"N/A",30,0,1700253392390282000,1700253392718567000,"StateChange",1700253389496143000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.40.36.12",947,1700253386,18,"Reliable",17,"10.40.36.12:40159",0,0,1700253389496196000,1700253392543224000,"9950","9950","VUG::LVCindicator_Live","Traffic Signal","9950"
41,"N/A",31,0,1700253392490227000,1700253392718724000,"StateChange",1700253389490497000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Green","10.40.36.12",947,1700253386,10,"Reliable",17,"10.40.36.12:40159",0,0,1700253389491874000,1700253392204693000,"9951","9951","VUG::LVCindicator_Live","Traffic Signal","9951"
42,"N/A",31,0,1700253392490306000,1700253392718758000,"StateChange",1700253389494071000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.40.36.12",947,1700253386,14,"Reliable",17,"10.40.36.12:40159",0,0,1700253389494148000,1700253392542008000,"9952","9952","VUG::LVCindicator_Live","Traffic Signal","9952"
