index,x,y,z,carla_heading,heading,latitude,longitude,elevation
83,109.5481948852539,-63.86703109741211,238.52166748046875,92.35432434082031,182.3543243408203,42.30116714043743,-83.69795266409547,238.52166748046875
84,109.5481948852539,-63.86703109741211,238.52166748046875,92.35432434082031,182.3543243408203,42.30116714043743,-83.69795266409547,238.52166748046875
85,109.468994140625,-61.86942672729492,238.47230529785156,92.25065612792969,182.2506561279297,42.301149195813025,-83.69795362603325,238.47230529785156
86,109.52605438232422,-63.30770492553711,238.50779724121094,92.3551025390625,182.3551025390625,42.301162115970556,-83.69795293300439,238.50779724121094
87,109.52605438232422,-63.30770492553711,238.50779724121094,92.3551025390625,182.3551025390625,42.301162115970556,-83.69795293300439,238.50779724121094
88,109.37765502929688,-59.592201232910156,238.42408752441406,92.54378509521484,182.54378509521484,42.301128739325605,-83.69795473539837,238.42408752441406
89,109.37765502929688,-59.592201232910156,238.42408752441406,92.54378509521484,182.54378509521484,42.301128739325605,-83.69795473539837,238.42408752441406
90,109.28114318847656,-57.59451675415039,238.3750762939453,92.98126220703125,182.98126220703125,42.30111079397062,-83.6979559075892,238.3750762939453
91,109.17007446289062,-55.597476959228516,238.3260498046875,93.3788833618164,183.3788833618164,42.30109285440176,-83.69795725658162,238.3260498046875
92,109.05475616455078,-53.58252716064453,238.27703857421875,92.99412536621094,182.99412536621094,42.301074753940696,-83.6979586571875,238.27703857421875
93,108.96148681640625,-51.559326171875,238.22804260253906,92.31195831298828,182.31195831298828,42.301056579353315,-83.69795978999643,238.22804260253906
94,108.89313507080078,-49.5339469909668,238.1796112060547,91.5899429321289,181.5899429321289,42.301038385193806,-83.697960620167,238.1796112060547
95,108.85115051269531,-47.50648498535156,238.13204956054688,90.82806396484375,180.82806396484375,42.30102017231877,-83.69796113009316,238.13204956054688
96,108.83698272705078,-45.477142333984375,238.08535766601562,90.02632904052734,180.02632904052734,42.301001942544474,-83.69796130216893,238.08535766601562
97,108.85208129882812,-43.44621658325195,238.03953552246094,89.18475341796875,179.18475341796875,42.300983698543774,-83.69796111878824,238.03953552246094
98,108.89788055419922,-41.41410827636719,237.99456787109375,88.30329895019531,178.3032989501953,42.30096544391475,-83.69796056253041,237.99456787109375
99,108.97584533691406,-39.38131332397461,237.9504852294922,87.38200378417969,177.3820037841797,42.30094718311227,-83.69795961560408,237.9504852294922
100,109.08738708496094,-37.348419189453125,237.90725708007812,86.42084503173828,176.42084503173828,42.30092892141349,-83.69795826086654,237.90725708007812
101,109.22016906738281,-35.35228729248047,237.86497497558594,86.45225524902344,176.45225524902344,42.30091098994859,-83.69795664815435,237.86497497558594
102,109.3242416381836,-33.388954162597656,237.8240203857422,87.38084411621094,177.38084411621094,42.30089335311348,-83.69795538413418,237.8240203857422
103,109.39707946777344,-31.42583465576172,237.78443908691406,88.26957702636719,178.2695770263672,42.30087571819246,-83.69795449947759,237.78443908691406
104,109.44010162353516,-29.463459014892578,237.74624633789062,89.11844635009766,179.11844635009766,42.30085808994869,-83.69795397694921,237.74624633789062
105,109.4547348022461,-27.502273559570312,237.7094268798828,89.92745971679688,179.92745971679688,42.3008404723916,-83.69795379922098,237.7094268798828
106,109.44244384765625,-25.54262351989746,237.6739959716797,90.69661712646484,180.69661712646484,42.30082286862236,-83.69795394850156,237.6739959716797
107,109.40467071533203,-23.584758758544922,237.63995361328125,91.4259262084961,181.4259262084961,42.30080528088561,-83.69795440727759,237.63995361328125
108,109.34284210205078,-21.62883949279785,237.6072998046875,92.11537170410156,182.11537170410156,42.3007877106206,-83.69795515822103,237.6072998046875
109,109.25843048095703,-19.674922943115234,237.57550048828125,92.76496887207031,182.7649688720703,42.30077015834132,-83.69795618344786,237.57550048828125
110,109.1538314819336,-17.708972930908203,237.543701171875,93.07926177978516,183.07926177978516,42.30075249795894,-83.6979574538618,237.543701171875
111,108.97097778320312,-13.807626724243164,237.4816131591797,92.26268768310547,182.26268768310547,42.300717451648495,-83.69795967472328,237.4816131591797
112,108.97097778320312,-13.807626724243164,237.4816131591797,92.26268768310547,182.26268768310547,42.300717451648495,-83.69795967472328,237.4816131591797
113,108.89210510253906,-11.809182167053223,237.45004272460938,92.25848388671875,182.25848388671875,42.30069949934838,-83.69796063267654,237.45004272460938
114,108.81327819824219,-9.810735702514648,237.41891479492188,92.2599868774414,182.2599868774414,42.30068154702602,-83.69796159007383,237.41891479492188
115,108.68367767333984,-6.535614967346191,237.36886596679688,92.27481842041016,182.27481842041016,42.3006521261502,-83.69796316414542,237.36886596679688
116,108.68367767333984,-6.535614967346191,237.36886596679688,92.27481842041016,182.27481842041016,42.3006521261502,-83.69796316414542,237.36886596679688
117,108.5775146484375,-3.907757520675659,237.32955932617188,92.35313415527344,182.35313415527344,42.30062851972269,-83.69796445355533,237.32955932617188
118,108.5775146484375,-3.907757520675659,237.32955932617188,92.35313415527344,182.35313415527344,42.30062851972269,-83.69796445355533,237.32955932617188
119,108.42510986328125,-0.20088371634483337,237.2754364013672,92.31768035888672,182.31768035888672,42.30059522031851,-83.69796630459754,237.2754364013672
120,108.42510986328125,-0.20088371634483337,237.2754364013672,92.31768035888672,182.31768035888672,42.30059522031851,-83.69796630459754,237.2754364013672
121,108.3458480834961,1.7975449562072754,237.2469024658203,92.23062896728516,182.23062896728516,42.30057726812626,-83.69796726727664,237.2469024658203
122,108.35403442382812,1.5877041816711426,237.2498779296875,92.23452758789062,182.23452758789062,42.30057915315845,-83.69796716784892,237.2498779296875
123,108.35403442382812,1.5877041816711426,237.2498779296875,92.23452758789062,182.23452758789062,42.30057915315845,-83.69796716784892,237.2498779296875
124,108.27664947509766,3.586207389831543,237.2217254638672,92.20225524902344,182.20225524902344,42.300561200292066,-83.69796810773283,237.2217254638672
125,108.2001953125,5.584747314453125,237.19403076171875,92.18087005615234,182.18087005615234,42.3005432470907,-83.69796903631183,237.19403076171875
126,108.10609436035156,8.063956260681152,237.1602783203125,92.16947937011719,182.1694793701172,42.30052097595615,-83.69797017922106,237.1602783203125
127,108.10609436035156,8.063956260681152,237.1602783203125,92.16947937011719,182.1694793701172,42.30052097595615,-83.69797017922106,237.1602783203125
128,108.02940368652344,10.06248664855957,237.133544921875,92.26082611083984,182.26082611083984,42.30050302282899,-83.69797111067261,237.133544921875
129,107.95057678222656,12.060933113098145,237.10691833496094,92.2571029663086,182.2571029663086,42.300485070450634,-83.6979720680699,237.10691833496094
130,107.87186431884766,14.059383392333984,237.08029174804688,92.25381469726562,182.25381469726562,42.300467118032884,-83.69797302407724,237.08029174804688
131,107.79327392578125,16.05925941467285,237.0536651611328,92.22113037109375,182.22113037109375,42.300449152802315,-83.69797397860196,237.0536651611328
132,107.71939086914062,18.068830490112305,237.02645874023438,91.98951721191406,181.98951721191406,42.30043110047424,-83.69797487595342,237.02645874023438
133,107.65361785888672,20.078683853149414,236.99838256835938,91.75833129882812,181.75833129882812,42.300413045605154,-83.6979756748038,236.99838256835938
134,107.59598541259766,22.088781356811523,236.96942138671875,91.52758026123047,181.52758026123047,42.30039498853773,-83.69797637478241,236.96942138671875
135,107.54640197753906,24.09909439086914,236.93959045410156,91.29725646972656,181.29725646972656,42.300376929528994,-83.69797697700125,236.93959045410156
136,107.50486755371094,26.10806655883789,236.90887451171875,91.09927368164062,181.09927368164062,42.30035888256032,-83.69797748146028,236.90887451171875
137,107.46650695800781,28.107698440551758,236.8772735595703,91.09899139404297,181.09899139404297,42.300340919492044,-83.6979779473714,236.8772735595703
138,107.42422485351562,30.093671798706055,236.84454345703125,91.38410949707031,181.3841094970703,42.30032307911577,-83.69797846091144,236.84454345703125
139,107.3705062866211,32.0770263671875,236.8102264404297,91.71892547607422,181.71892547607422,42.30030526225951,-83.69797911335378,236.8102264404297
140,107.3051986694336,34.060035705566406,236.77430725097656,92.05416870117188,182.05416870117188,42.30028744849952,-83.6979799065517,236.77430725097656
141,107.22827911376953,36.042633056640625,236.73680114746094,92.38985443115234,182.38985443115234,42.300269638435424,-83.69798084078315,236.73680114746094
142,107.13973999023438,38.024749755859375,236.69769287109375,92.72595977783203,182.72595977783203,42.3002518326841,-83.69798191614082,236.69769287109375
143,107.03955841064453,40.00631332397461,236.656982421875,93.0625,183.0625,42.30023403189659,-83.6979831329027,236.656982421875
144,106.92772674560547,41.98725509643555,236.61492919921875,93.39946746826172,183.39946746826172,42.300216236689806,-83.69798449116145,236.61492919921875
145,106.80443572998047,43.972129821777344,236.57272338867188,93.64014434814453,183.64014434814453,42.300198406147445,-83.6979859886005,236.57272338867188
146,106.6011962890625,47.1642951965332,236.5052032470703,93.72776794433594,183.72776794433594,42.300169730251554,-83.69798845705832,236.5052032470703
147,106.6011962890625,47.1642951965332,236.5052032470703,93.72776794433594,183.72776794433594,42.300169730251554,-83.69798845705832,236.5052032470703
148,106.45986938476562,49.098365783691406,236.4642791748047,94.7130355834961,184.7130355834961,42.30015235608059,-83.69799017355342,236.4642791748047
149,106.27571868896484,50.998958587646484,236.42543029785156,96.57427978515625,186.57427978515625,42.300135282643026,-83.69799241016766,236.42543029785156
150,106.0163803100586,52.860321044921875,236.3878936767578,99.3656005859375,189.3656005859375,42.300118561615704,-83.69799555997878,236.3878936767578
151,105.66551971435547,54.6794548034668,236.3509521484375,102.53411102294922,192.53411102294922,42.300102219933734,-83.69799982137893,236.3509521484375
152,105.21371459960938,56.45325469970703,236.31382751464844,106.10099792480469,196.1009979248047,42.30008628549186,-83.6980053088073,236.31382751464844
153,104.48038482666016,58.63491439819336,236.2649688720703,111.3194351196289,201.3194351196289,42.300066687148416,-83.69801421551168,236.2649688720703
