Time [s],Speed [mph],Speed [mps],Acceleration Command [m/s²],Calculated Acceleration [m/s²]
25.4613,3.0447179,1.3611122000000002,0.25,0.20383953609047287
25.5613,3.106855,1.3888900000000002,0.25,0.20380242480122762
25.6614,3.106855,1.3888900000000002,0.25,0.18530239150119462
25.7613,3.1689920999999996,1.4166678,0.25,0.18528381728235305
25.8613,3.1689920999999996,1.4166678,0.25,0.16678378398231988
25.9613,3.2311292000000003,1.4444456,0.25,0.18530231731565305
26.0614,3.2932663,1.4722234,0.25,0.18528381728235324
26.1613,3.2932663,1.4722234,0.25,0.16672817265977496
26.2623,3.3554034,1.5000012000000003,0.25,0.18506335417792708
26.3613,3.3554034,1.5000012000000003,0.25,0.16654482084459404
26.4625,3.4175405,1.5277790000000002,0.25,0.16632523349281522
26.5659,3.4796776,1.5555568,0.25,0.18423484019816633
26.6614,3.4796776,1.5555568,0.25,0.16573480689813327
26.7614,3.5418147,1.5833346000000001,0.25,0.1666501716636598
26.8614,3.6039518,1.6111124000000001,0.25,0.16565497124216286
26.9613,3.6660889,1.6388902000000003,0.25,0.18419204164589978
27.0614,3.6660889,1.6388902000000003,0.25,0.16567350831256608
27.1625,3.6660889,1.6388902000000003,0.25,0.16567350831256608
27.2613,3.7282260000000003,1.666668,0.25,0.1658798926996524
27.3612,3.7282260000000003,1.666668,0.25,0.1658798926996524
27.4613,3.8525002,1.7222236000000002,0.25,0.18436142596638547
27.5613,3.7903631,1.6944458,0.25,0.1473428593330179
27.6612,3.8525002,1.7222236000000002,0.25,0.16587992973675483
27.7613,3.8525002,1.7222236000000002,0.25,0.14754474821860267
27.8612,3.9146373,1.7500014000000002,0.25,0.16608181862233942
27.9613,3.9146373,1.7500014000000002,0.25,0.14778287264078452
28.0614,3.9767744,1.7777792000000003,0.25,0.14837329923546727
28.1624,3.9767744,1.7777792000000003,0.25,0.14837329923546727
28.2613,3.9767744,1.7777792000000003,0.25,0.12985476590213343
28.3614,4.1010485999999995,1.8333348,0.25,0.14833629916886631
28.4613,4.0389115,1.805557,0.25,0.11126215836139271
28.5611,4.1010485999999995,1.8333348,0.25,0.1298178029839715
28.6614,4.1631857000000005,1.8611126000000002,0.25,0.14828094688559992
28.7612,4.1631857000000005,1.8611126000000002,0.25,0.12953749209477636
28.8611,4.1631857000000005,1.8611126000000002,0.25,0.12953749209477636
28.9611,4.1631857000000005,1.8611126000000002,0.25,0.09253742549471006
29.0615,4.2253228,1.8888904000000002,0.25,0.12950071314411285
29.1612,4.2253228,1.8888904000000002,0.25,0.11096364274037596
29.2612,4.2874599,1.9166682000000004,0.25,0.12948217607370982
29.3624,4.2874599,1.9166682000000004,0.25,0.1109451056699731
29.4622,4.349597,1.9444460000000001,0.25,0.12950075029255173
29.5624,4.411734099999999,1.9722238,0.25,0.12948228718546512
29.6613,4.4738712000000005,2.0000016,0.25,0.14820679005031162
29.7612,4.4738712000000005,2.0000016,0.25,0.14820679005031162
29.8613,4.4738712000000005,2.0000016,0.25,0.11120672345024568
29.9613,4.5360083,2.0277794,0.25,0.14826232718731547
30.0612,4.5360083,2.0277794,0.25,0.1297066825647367
30.1613,4.6602825,2.0833350000000004,0.25,0.14824360526317465
30.2613,4.7845567,2.1388906000000003,0.25,0.18528067192984207
30.3613,4.6602825,2.0833350000000004,0.25,0.14824360526317598
30.4611,4.7845567,2.1388906000000003,0.25,0.18535489450833353
30.5613,4.7845567,2.1388906000000003,0.25,0.16691014019226458
30.6613,4.8466938,2.1666684000000003,0.25,0.1854286735255976
30.7612,4.970968,2.222224,0.25,0.2039842809997386
30.8613,5.0331051,2.2500018,0.25,0.22248431429977164
30.9612,5.0331051,2.2500018,0.25,0.20392866967719303
31.0612,5.0952421999999995,2.2777796,0.25,0.20396563281757946
31.1612,5.1573793000000006,2.3055574000000005,0.25,0.20375966328606623
31.2611,5.2195164,2.3333352000000005,0.25,0.22229673368980363
31.3611,5.2195164,2.3333352000000005,0.25,0.22229673368980363
31.4612,5.2816535,2.361113,0.25,0.22227823365650334
31.5611,5.3437906,2.3888908,0.25,0.24081530406024074
31.6615,5.4059276999999994,2.4166686,0.25,0.2766713147410341
31.7613,5.4680648000000005,2.4444464000000004,0.25,0.27833466933868606
31.8613,5.4680648000000005,2.4444464000000004,0.25,0.2408156363988211
31.9611,5.592339,2.5000020000000003,0.25,0.24081563639882106
32.0612,5.6544761,2.5277798000000002,0.25,0.2775004995004958
32.1611,5.716613199999999,2.5555576,0.25,0.278056056056061
32.2613,5.7787503000000005,2.5833354000000006,0.25,0.277223552894213
32.3612,5.840887400000001,2.6111132,0.25,0.27805605605605654
32.4612,5.9030245,2.638891,0.25,0.2777779999999957
32.5611,5.9651616,2.6666688,0.25,0.2780560560560412
32.6611,6.027298699999999,2.6944466,0.25,0.2777780000000154
32.7611,6.151572900000001,2.7500022000000004,0.25,0.2778157399251007
32.8612,6.21371,2.7777800000000004,0.25,0.2775004995005057
32.9612,6.2758471,2.8055578000000003,0.25,0.2777779999999957
33.0614,6.337984199999999,2.8333356,0.25,0.27722355289420414
33.1612,6.4001213,2.8611134000000003,0.25,0.2783346693386762
33.2613,6.5243955,2.916669,0.25,0.3148340853316421
33.3612,6.5865326,2.9444468,0.25,0.278056056056061
33.4612,6.648669699999999,2.9722246,0.25,0.2777779999999957
33.5613,6.7108068,3.0000024000000005,0.25,0.27750049950049044
33.6611,6.835081,3.0555580000000004,0.25,0.33335261866497606
33.7612,6.835081,3.0555580000000004,0.25,0.3148710484720285
33.8614,6.9593552,3.1111136,0.25,0.3332971184541856
33.9623,7.0214923,3.1388914000000003,0.25,0.3331319382757925
