TimeStampNs,PandaNum,MessageID,Bus,MessageLength,Message
4421277975.0,0,0x245,0,5,0x000000004C
4444821450.0,0,0x245,0,5,0x000000004C
4468427200.0,0,0x245,0,5,0x000000004C
4491905225.0,0,0x245,0,5,0x000000004C
4515486925.0,0,0x245,0,5,0x000000004C
4539030925.0,0,0x245,0,5,0x000000004C
4562630525.0,0,0x245,0,5,0x000000004C
4586115050.0,0,0x245,0,5,0x000000004C
4609695150.0,0,0x245,0,5,0x000000004C
4633605675.0,0,0x245,0,5,0x000000004C
4656818800.0,0,0x245,0,5,0x000000004C
4680325750.0,0,0x245,0,5,0x000000004C
4703905975.0,0,0x245,0,5,0x000000004C
4727449675.0,0,0x245,0,5,0x000000004C
4751028925.0,0,0x245,0,5,0x000000004C
4774781275.0,0,0x245,0,5,0x000000004C
4798120275.0,0,0x245,0,5,0x000000004C
4821658325.0,0,0x245,0,5,0x000000004C
4845258800.0,0,0x245,0,5,0x000000004C
4868745050.0,0,0x245,0,5,0x000000004C
4892338350.0,0,0x245,0,5,0x000000004C
4915868800.0,0,0x245,0,5,0x000000004C
4939566025.0,0,0x245,0,5,0x000000004C
4962952750.0,0,0x245,0,5,0x000000004C
4986540250.0,0,0x245,0,5,0x000000004C
5010078550.0,0,0x245,0,5,0x000000004C
5033659375.0,0,0x245,0,5,0x000000004C
5057164300.0,0,0x245,0,5,0x000000004C
5080744575.0,0,0x245,0,5,0x000000004C
5104471850.0,0,0x245,0,5,0x000000004C
5127869150.0,0,0x245,0,5,0x000000004C
5151621550.0,0,0x245,0,5,0x000000004C
5174959050.0,0,0x245,0,5,0x000000004C
5198498550.0,0,0x245,0,5,0x000000004C
5222095875.0,0,0x245,0,5,0x000000004C
5245660750.0,0,0x245,0,5,0x000000004C
5269163825.0,0,0x245,0,5,0x000000004C
5292708950.0,0,0x245,0,5,0x000000004C
5316305425.0,0,0x245,0,5,0x000000004C
5339793200.0,0,0x245,0,5,0x000000004C
5363379325.0,0,0x245,0,5,0x000000004C
5386975625.0,0,0x245,0,5,0x000000004C
5410497525.0,0,0x245,0,5,0x000000004C
5434004100.0,0,0x245,0,5,0x000000004C
5457586050.0,0,0x245,0,5,0x000000004C
5481127275.0,0,0x245,0,5,0x000000004C
5504707900.0,0,0x245,0,5,0x000000004C
5528460475.0,0,0x245,0,5,0x000000004C
5551803775.0,0,0x245,0,5,0x000000004C
5576104900.0,0,0x245,0,5,0x000000004C
5598935450.0,0,0x245,0,5,0x000000004C
5622423350.0,0,0x245,0,5,0x000000004C
5646002275.0,0,0x245,0,5,0x000000004C
5669547525.0,0,0x245,0,5,0x000000004C
5693145300.0,0,0x245,0,5,0x000000004C
5716631400.0,0,0x245,0,5,0x000000004C
5740410300.0,0,0x245,0,5,0x000000004C
5763756325.0,0,0x245,0,5,0x000000004C
5787336125.0,0,0x245,0,5,0x000000004C
5810843225.0,0,0x245,0,5,0x000000004C
5834423450.0,0,0x245,0,5,0x000000004C
5857965600.0,0,0x245,0,5,0x000000004C
5882127750.0,0,0x245,0,5,0x000000004C
5905283900.0,0,0x245,0,5,0x000000004C
5928632425.0,0,0x245,0,5,0x000000004C
5952175375.0,0,0x245,0,5,0x000000004C
5975775050.0,0,0x245,0,5,0x000000004C
5999260425.0,0,0x245,0,5,0x000000004C
6022842375.0,0,0x245,0,5,0x000000004C
6046394675.0,0,0x245,0,5,0x000000004C
6069990550.0,0,0x245,0,5,0x000000004C
6093469050.0,0,0x245,0,5,0x000000004C
6117052075.0,0,0x245,0,5,0x000000004C
6140767425.0,0,0x245,0,5,0x000000004C
6164175600.0,0,0x245,0,5,0x000000004C
6187679500.0,0,0x245,0,5,0x000000004C
6212022700.0,0,0x245,0,5,0x000000004C
6234806000.0,0,0x245,0,5,0x000000004C
6258385450.0,0,0x245,0,5,0x000000004C
6282136625.0,0,0x245,0,5,0x000000004C
6305527600.0,0,0x245,0,5,0x000000004C
6329023575.0,0,0x245,0,5,0x000000004C
6352613200.0,0,0x245,0,5,0x000000004C
6376101150.0,0,0x245,0,5,0x000000004C
6399681375.0,0,0x245,0,5,0x000000004C
6423224975.0,0,0x245,0,5,0x000000004C
6446822275.0,0,0x245,0,5,0x000000004C
6470308750.0,0,0x245,0,5,0x000000004C
6493894825.0,0,0x245,0,5,0x000000004C
6518171300.0,0,0x245,0,5,0x000000004C
6541014225.0,0,0x245,0,5,0x000000004C
6564520525.0,0,0x245,0,5,0x000000004C
6588100625.0,0,0x245,0,5,0x000000004C
6611643400.0,0,0x245,0,5,0x000000004C
