Time [s],Speed [mph],Speed [mphs,Acceleration Command [m/s²],Calculated Acceleration [m/s²]
426.4613,0.0,0.0,-1.5,-1.499999999999999
426.5614,0.0,0.0,-1.5,-1.499999999999999
426.6613,0.0,0.0,-1.5,-1.499999999999999
426.7612,0.0,0.0,-1.5,-1.499999999999999
426.8612,0.0,0.0,-1.5,-1.499999999999999
426.9612,0.0,0.0,-1.5,-1.499999999999999
427.0612,0.0,0.0,-1.5,-1.499999999999999
427.1612,0.0,0.0,-1.5,-1.499999999999999
427.2612,0.0,0.0,-1.5,-1.499999999999999
427.3613,0.0,0.0,-1.5,-1.499999999999999
427.4616,0.0,0.0,-1.5,-1.499999999999999
427.5613,0.0,0.0,-1.5,-1.499999999999999
427.6611,0.0,0.0,-1.5,-1.499999999999999
427.7612,0.0,0.0,-1.5,-1.499999999999999
427.8612,0.0,0.0,-1.5,-1.499999999999999
427.9612,0.0,0.0,-1.5,-1.499999999999999
428.0613,0.0,0.0,-1.5,-1.499999999999999
428.1612,0.0,0.0,-1.5,-1.499999999999999
428.2612,0.0,0.0,-1.5,-1.499999999999999
428.3612,0.0,0.0,-1.5,-1.499999999999999
428.4612,0.0,0.0,-1.5,-1.499999999999999
428.5612,0.0,0.0,-1.5,-1.499999999999999
428.6613,0.0,0.0,-1.5,-1.499999999999999
428.7612,0.0,0.0,-1.5,-1.499999999999999
428.8612,0.0,0.0,-1.5,-1.499999999999999
428.9611,0.0,0.0,-1.5,-1.499999999999999
429.0612,0.0,0.0,-1.5,-1.499999999999999
429.1612,0.0,0.0,-1.5,-1.499999999999999
429.2612,0.0,0.0,-1.5,-1.499999999999999
429.3612,0.0,0.0,-1.5,-1.499999999999999
429.4612,0.0,0.0,-1.5,-1.499999999999999
429.5612,0.0,0.0,-1.5,-1.499999999999999
429.6612,0.0,0.0,-1.5,-1.499999999999999
429.7612,0.0,0.0,-1.5,-1.499999999999999
429.8612,0.0,0.0,-1.5,-1.499999999999999
429.9613,0.0,0.0,-1.5,-1.499999999999999
430.0612,0.0,0.0,-1.5,-1.499999999999999
430.1612,0.0,0.0,-1.5,-1.499999999999999
430.2612,0.0,0.0,-1.5,-1.499999999999999
430.3612,0.0,0.0,-1.5,-1.499999999999999
430.4612,0.0,0.0,-1.5,-1.499999999999999
430.5612,0.0,0.0,-1.5,-1.499999999999999
430.6612,0.0,0.0,-1.5,-1.499999999999999
430.7612,0.0,0.0,-1.5,-1.499999999999999
430.8612,0.0,0.0,-1.5,-1.499999999999999
430.9612,0.0,0.0,-1.5,-1.499999999999999
431.0613,0.0,0.0,-1.5,-1.499999999999999
431.1612,0.0,0.0,-1.5,-1.499999999999999
431.2611,0.0,0.0,-1.5,-1.499999999999999
431.3612,0.0,0.0,-1.5,-1.499999999999999
431.4612,0.0,0.0,-1.5,-1.499999999999999
431.5612,0.0,0.0,-1.5,-1.499999999999999
431.6614,0.0,0.0,-1.5,-1.499999999999999
431.7613,0.0,0.0,-1.5,-1.499999999999999
431.8612,0.0,0.0,-1.5,-1.499999999999999
431.9612,0.0,0.0,-1.5,-1.499999999999999
432.0614,0.0,0.0,-1.5,-1.499999999999999
432.1612,0.0,0.0,-1.5,-1.499999999999999
432.2613,0.0,0.0,-1.5,-1.499999999999999
432.3614,0.0,0.0,-1.5,-1.499999999999999
432.4614,0.0,0.0,-1.5,-1.499999999999999
432.5612,0.0,0.0,-1.5,-1.499999999999999
432.6612,0.0,0.0,-1.5,-1.499999999999999
432.7612,0.0,0.0,-1.5,-1.499999999999999
432.8612,0.0,0.0,-1.5,-1.499999999999999
432.9612,0.0,0.0,-1.5,-1.499999999999999
433.0611,0.0,0.0,-1.5,-1.499999999999999
