"rowID","Metadata,MulticastAddress","Metadata,StateVersion","Metadata,IsTerminated","Metadata,TimeOfCommit","Metadata,TimeOfReceipt","Metadata,Enum,Middleware::EventType","tspi.time.nanosecondsSince1970,Int64","Enum,TENA::RTcode,tspi.position.geodetic_asTransmitted.srf.rtCode (optional)","tspi.position.geodetic_asTransmitted.latitudeInDegrees,Float64 (optional)","tspi.position.geodetic_asTransmitted.longitudeInDegrees,Float64 (optional)","tspi.position.geodetic_asTransmitted.heightAboveEllipsoidInMeters,Float64 (optional)","Enum,VUG::Entities::Signals::TrafficLightState,currentState","const^Metadata,SDOid.hostIPaddress","const^Metadata,SDOid.processID","const^Metadata,SDOid.processCreateTimeSec","const^Metadata,SDOid.counter","const^Metadata,Enum,Middleware::CommunicationProperties","const^Metadata,ApplicationId","const^Metadata,Endpoint","const^Metadata,PublisherSessionId","const^Metadata,ReactivationCount","const^Metadata,TimeOfCreation","const^Metadata,TimeOfDiscovery","const^identifier,String","const^sourceIdentifier,String","const^Enum,VUG::LVCindicator,lvcIndicator","const^type,String","const^signalID,String"
28,"N/A",428,0,1712338076466526000,1712338076534383000,"StateChange",1712338033758489000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,10,"Reliable",92,"10.91.0.3:36949",0,0,1712338033758638000,1712338075657387000,"663","663","VUG::LVCindicator_Live","Traffic Signal","663"
29,"N/A",428,0,1712338076466627000,1712338076551556000,"StateChange",1712338033759159000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,14,"Reliable",92,"10.91.0.3:36949",0,0,1712338033759188000,1712338075658020000,"658","658","VUG::LVCindicator_Live","Traffic Signal","658"
30,"N/A",428,0,1712338076466701000,1712338076551692000,"StateChange",1712338033759270000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,16,"Reliable",92,"10.91.0.3:36949",0,0,1712338033759294000,1712338075659572000,"656","656","VUG::LVCindicator_Live","Traffic Signal","656"
31,"N/A",429,0,1712338076566535000,1712338076629469000,"StateChange",1712338033758489000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,10,"Reliable",92,"10.91.0.3:36949",0,0,1712338033758638000,1712338075657387000,"663","663","VUG::LVCindicator_Live","Traffic Signal","663"
32,"N/A",429,0,1712338076566631000,1712338076629638000,"StateChange",1712338033759159000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,14,"Reliable",92,"10.91.0.3:36949",0,0,1712338033759188000,1712338075658020000,"658","658","VUG::LVCindicator_Live","Traffic Signal","658"
33,"N/A",429,0,1712338076566697000,1712338076644689000,"StateChange",1712338033759270000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,16,"Reliable",92,"10.91.0.3:36949",0,0,1712338033759294000,1712338075659572000,"656","656","VUG::LVCindicator_Live","Traffic Signal","656"
34,"N/A",430,0,1712338076666891000,1712338076729261000,"StateChange",1712338033758489000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,10,"Reliable",92,"10.91.0.3:36949",0,0,1712338033758638000,1712338075657387000,"663","663","VUG::LVCindicator_Live","Traffic Signal","663"
35,"N/A",430,0,1712338076667007000,1712338076729371000,"StateChange",1712338033759159000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,14,"Reliable",92,"10.91.0.3:36949",0,0,1712338033759188000,1712338075658020000,"658","658","VUG::LVCindicator_Live","Traffic Signal","658"
36,"N/A",430,0,1712338076667066000,1712338076745844000,"StateChange",1712338033759270000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,16,"Reliable",92,"10.91.0.3:36949",0,0,1712338033759294000,1712338075659572000,"656","656","VUG::LVCindicator_Live","Traffic Signal","656"
37,"N/A",431,0,1712338076767022000,1712338076831728000,"StateChange",1712338033758489000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,10,"Reliable",92,"10.91.0.3:36949",0,0,1712338033758638000,1712338075657387000,"663","663","VUG::LVCindicator_Live","Traffic Signal","663"
38,"N/A",431,0,1712338076767128000,1712338076832149000,"StateChange",1712338033759159000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,14,"Reliable",92,"10.91.0.3:36949",0,0,1712338033759188000,1712338075658020000,"658","658","VUG::LVCindicator_Live","Traffic Signal","658"
39,"N/A",431,0,1712338076767188000,1712338076832261000,"StateChange",1712338033759270000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,16,"Reliable",92,"10.91.0.3:36949",0,0,1712338033759294000,1712338075659572000,"656","656","VUG::LVCindicator_Live","Traffic Signal","656"
40,"N/A",432,0,1712338076866764000,1712338076929380000,"StateChange",1712338033758489000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,10,"Reliable",92,"10.91.0.3:36949",0,0,1712338033758638000,1712338075657387000,"663","663","VUG::LVCindicator_Live","Traffic Signal","663"
41,"N/A",432,0,1712338076866853000,1712338076929499000,"StateChange",1712338033759159000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,14,"Reliable",92,"10.91.0.3:36949",0,0,1712338033759188000,1712338075658020000,"658","658","VUG::LVCindicator_Live","Traffic Signal","658"
42,"N/A",432,0,1712338076866899000,1712338076933683000,"StateChange",1712338033759270000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,16,"Reliable",92,"10.91.0.3:36949",0,0,1712338033759294000,1712338075659572000,"656","656","VUG::LVCindicator_Live","Traffic Signal","656"
43,"N/A",433,0,1712338076967249000,1712338077039406000,"StateChange",1712338033758489000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,10,"Reliable",92,"10.91.0.3:36949",0,0,1712338033758638000,1712338075657387000,"663","663","VUG::LVCindicator_Live","Traffic Signal","663"
44,"N/A",433,0,1712338076967503000,1712338077039630000,"StateChange",1712338033759159000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,14,"Reliable",92,"10.91.0.3:36949",0,0,1712338033759188000,1712338075658020000,"658","658","VUG::LVCindicator_Live","Traffic Signal","658"
45,"N/A",433,0,1712338076967578000,1712338077044428000,"StateChange",1712338033759270000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,16,"Reliable",92,"10.91.0.3:36949",0,0,1712338033759294000,1712338075659572000,"656","656","VUG::LVCindicator_Live","Traffic Signal","656"
