index,current_time,vehicle_type,x,y,z,speed,vehicle_pitch,waypoint_pitch
2228,1712340632.9860106,vehicle.toyota.prius,58.068538665771484,-61.81476593017578,237.39942932128906,0.0,0.000601056613959372,0.3607522249221802
2229,1712340633.088564,vehicle.toyota.prius,58.118011474609375,-62.32575225830078,237.39942932128906,0.0,0.000601056613959372,0.32785558700561523
2230,1712340633.190568,vehicle.toyota.prius,58.1509895324707,-62.67010498046875,237.39942932128906,0.0,0.0006078868173062801,0.3207395076751709
2231,1712340633.2930002,vehicle.toyota.prius,58.19221878051758,-63.01446533203125,237.3994140625,0.0,0.0006078868173062801,0.32577458024024963
2232,1712340633.3947642,vehicle.toyota.prius,58.200462341308594,-63.18109130859375,237.3994140625,0.0,0.0006078868173062801,0.3325141966342926
2233,1712340633.4970317,vehicle.toyota.prius,58.23344421386719,-63.503231048583984,237.3994140625,0.0,0.0006147170206531882,0.3536721467971802
2234,1712340633.6008084,vehicle.toyota.prius,58.26642990112305,-63.836483001708984,237.3994140625,0.0,0.0006147170206531882,0.3867211639881134
2235,1712340633.7026098,vehicle.toyota.prius,58.29116439819336,-64.14751434326172,237.3994140625,0.0,0.0006147170206531882,0.42769911885261536
2236,1712340633.805113,vehicle.toyota.prius,58.29116439819336,-64.14751434326172,237.3994140625,0.0,0.0006147170206531882,0.42769911885261536
2237,1712340633.9072313,vehicle.toyota.prius,58.34063720703125,-64.71404266357422,237.39938354492188,0.0,0.0006283773691393435,0.5277507305145264
2238,1712340634.0104232,vehicle.toyota.prius,58.34063720703125,-64.71404266357422,237.39938354492188,0.0,0.0006283773691393435,0.5277507305145264
2239,1712340634.113042,vehicle.toyota.prius,58.38186264038086,-65.31389617919922,237.39938354492188,0.0,0.0006283773691393435,0.6689775586128235
2240,1712340634.215363,vehicle.toyota.prius,58.41484832763672,-65.56938171386719,237.3993682861328,0.0,0.0006283773691393435,0.7407932877540588
2241,1712340634.317637,vehicle.toyota.prius,58.44783020019531,-65.82487487792969,237.3993682861328,0.0,0.0006283773691393435,0.8193381428718567
2242,1712340634.4200542,vehicle.toyota.prius,58.48080825805664,-66.21366882324219,237.3993682861328,0.0,0.0006283773691393435,0.9261325001716614
2243,1712340634.5223193,vehicle.toyota.prius,58.505550384521484,-66.45805358886719,237.3993682861328,0.0,0.0006420377176254988,0.9423412680625916
2244,1712340634.6241171,vehicle.toyota.prius,58.53028106689453,-66.70243835449219,237.3993682861328,0.0,0.0006420377176254988,0.9585148692131042
2245,1712340634.726348,vehicle.toyota.prius,58.546775817871094,-67.04679107666016,237.3993682861328,0.0,0.0006488679209724069,0.9810901284217834
2246,1712340634.8284528,vehicle.toyota.prius,58.5880012512207,-67.40225982666016,237.3993682861328,0.0,0.000655698124319315,1.0045245885849
2247,1712340634.930927,vehicle.toyota.prius,58.604496002197266,-67.62442779541016,237.3993682861328,0.0,0.000662528327666223,1.019055724143982
2248,1712340635.0327625,vehicle.toyota.prius,58.637474060058594,-67.93546295166016,237.3993682861328,0.0,0.0006693585310131311,1.039494514465332
2249,1712340635.135122,vehicle.toyota.prius,58.68695068359375,-68.23538970947266,237.39935302734375,0.0,0.0006761886761523783,1.0592384338378906
2250,1712340635.2375817,vehicle.toyota.prius,58.810638427734375,-68.86856079101562,237.4993438720703,0.0,0.0006761886761523783,1.1009039878845215
