timestamp_posix,msgCount,temporaryId,latitude,longitude,elevation,speed,heading,length,width
1696358355.016045,55,ca62cd16,42.3010996,-83.6991044,238.0,125.0,1.4000000000000001,314,159
1696358355.0202408,56,ca62cd16,42.3011099,-83.6991041,238.0,125.0,1.4000000000000001,314,159
1696358355.0218868,57,ca62cd16,42.301121,-83.6991036,238.0,125.0,1.4000000000000001,314,159
1696358355.039028,58,ca62cd16,42.3011322,-83.6991032,238.0,125.0,1.4000000000000001,314,159
1696358355.0409403,59,ca62cd16,42.3011436,-83.6991029,238.0,125.0,1.4000000000000001,314,159
1696358355.0428286,60,ca62cd16,42.3011548,-83.6991024,238.0,125.0,1.4000000000000001,314,159
1696358355.054958,61,ca62cd16,42.3011661,-83.699102,238.0,125.0,1.5,314,159
1696358355.0662723,62,ca62cd16,42.3011773,-83.6991017,238.0,125.0,1.5,314,159
1696358355.0726914,63,ca62cd16,42.3011887,-83.6991012,238.0,125.0,1.5,314,159
1696358355.0806572,64,ca62cd16,42.3011999,-83.6991008,238.0,125.0,1.5,314,159
1696358355.0828009,65,ca62cd16,42.301211,-83.6991005,238.0,125.0,1.5,314,159
1696358355.0860775,66,ca62cd16,42.3012213,-83.6990996,238.0,125.0,2.6,314,159
1696358355.0957336,67,ca62cd16,42.3012324,-83.6990979,238.1,125.0,4.3,314,159
1696358355.098074,68,ca62cd16,42.3012436,-83.6990958,238.2,125.0,6.0,314,159
1696358355.104581,69,ca62cd16,42.3012547,-83.6990933,238.2,125.0,7.7,314,159
1696358355.1065428,70,ca62cd16,42.3012658,-83.6990903,238.3,125.0,9.4,314,159
1696358355.108373,71,ca62cd16,42.3012767,-83.6990869,238.3,125.0,11.0,314,159
1696358355.1209126,72,ca62cd16,42.3012876,-83.6990831,238.4,125.0,12.700000000000001,314,159
1696358355.122434,73,ca62cd16,42.3012985,-83.6990788,238.5,125.0,14.4,314,159
1696358355.1238637,74,ca62cd16,42.3013093,-83.6990741,238.5,125.0,16.1,314,159
1696358355.1253557,75,ca62cd16,42.30132,-83.699069,238.6,125.0,17.8,314,159
1696358355.1320126,76,ca62cd16,42.3013303,-83.6990635,238.7,125.0,19.400000000000002,314,159
1696358355.1408303,77,ca62cd16,42.3013408,-83.6990575,238.7,125.0,21.1,314,159
1696358355.142608,78,ca62cd16,42.30135,-83.6990517,238.8,125.0,22.8,314,159
1696358355.1448386,79,ca62cd16,42.3013591,-83.6990457,238.9,125.0,24.5,314,159
1696358355.1470258,80,ca62cd16,42.3013691,-83.6990386,238.9,125.0,26.200000000000003,314,159
1696358355.156909,81,ca62cd16,42.3013784,-83.6990302,239.0,125.0,29.900000000000002,314,159
1696358355.159955,82,ca62cd16,42.3013878,-83.6990217,239.0,125.0,32.1,314,159
1696358355.161797,83,ca62cd16,42.301397,-83.6990127,239.0,125.0,34.300000000000004,314,159
1696358355.1703284,84,ca62cd16,42.3014058,-83.6990031,239.0,125.0,36.5,314,159
1696358355.1742828,85,ca62cd16,42.3014143,-83.6989933,239.0,125.0,38.7,314,159
