lattitude,longitude,elevation,speed,heading
42.30143750,-83.69797620,239.00,7.19,182.85
42.30143020,-83.69797670,239.00,8.84,182.85
42.30142290,-83.69797710,239.00,9.63,182.85
42.30141560,-83.69797760,239.00,9.06,182.85
42.30140830,-83.69797810,239.00,8.00,182.85
42.30140110,-83.69797860,239.00,7.28,182.85
42.30139380,-83.69797910,239.00,8.23,182.85
42.30138660,-83.69797960,239.00,9.62,182.85
42.30137940,-83.69798010,239.00,9.82,182.85
42.30137220,-83.69798050,239.00,8.93,182.85
42.30136500,-83.69798100,239.00,7.42,182.85
42.30135780,-83.69798150,239.00,6.75,182.85
42.30135060,-83.69798200,239.00,8.70,182.85
42.30134340,-83.69798250,239.00,8.00,182.85
42.30133610,-83.69798290,239.00,9.60,182.80
42.30132890,-83.69798310,239.00,8.35,182.16
42.30132160,-83.69798330,239.00,9.52,181.66
42.30131430,-83.69798340,239.00,8.00,181.28
42.30130700,-83.69798350,239.00,8.72,180.98
42.30129970,-83.69798360,239.00,7.15,180.76
42.30129230,-83.69798360,239.00,8.79,180.58
42.30128500,-83.69798370,239.00,8.00,180.44
42.30127760,-83.69798370,239.00,8.72,180.34
42.30127020,-83.69798370,239.00,8.00,180.26
42.30126280,-83.69798380,239.00,6.48,180.20
42.30125540,-83.69798380,239.00,7.06,180.15
42.30124800,-83.69798380,239.00,9.18,180.11
42.30124060,-83.69798380,239.00,9.09,180.09
42.30123310,-83.69798380,239.00,9.64,180.07
42.30122560,-83.69798380,239.00,8.00,180.05
42.30121820,-83.69798380,239.00,8.40,180.04
42.30121070,-83.69798380,239.00,7.22,180.03
42.30120310,-83.69798380,239.00,9.39,180.02
42.30119560,-83.69798380,239.00,8.55,180.01
42.30118810,-83.69798380,238.50,7.78,180.01
42.30118050,-83.69798380,238.50,8.01,180.01
42.30117300,-83.69798380,238.50,7.45,180.00
42.30116540,-83.69798380,238.50,7.30,180.00
42.30115780,-83.69798380,238.50,6.13,180.00
42.30115020,-83.69798380,238.50,6.07,180.00
42.30114250,-83.69798380,238.50,7.83,180.00
42.30113490,-83.69798380,238.50,8.54,180.00
42.30112720,-83.69798380,238.00,8.00,180.00
42.30111960,-83.69798380,238.00,8.72,180.00
42.30111190,-83.69798380,238.00,7.50,180.00
42.30110420,-83.69798380,238.00,6.30,180.00
42.30109650,-83.69798380,238.00,7.31,180.02
42.30108870,-83.69798380,238.00,6.43,180.05
42.30108100,-83.69798390,238.00,5.47,180.07
42.30107320,-83.69798390,238.00,6.67,180.09
42.30106550,-83.69798390,238.00,7.34,180.11
42.30105770,-83.69798390,238.00,7.70,180.12
42.30104990,-83.69798400,238.00,8.63,180.13
42.30104210,-83.69798400,238.00,8.00,180.13
42.30103420,-83.69798400,238.00,8.16,180.14
42.30102640,-83.69798400,238.00,7.59,180.14
42.30101850,-83.69798410,238.00,8.95,180.14
42.30101070,-83.69798410,238.00,8.00,180.15
42.30100280,-83.69798410,238.00,8.72,180.15
42.30099490,-83.69798420,238.00,8.00,180.15
42.30098700,-83.69798420,238.00,9.92,180.15
42.30097900,-83.69798420,238.00,8.00,180.15
42.30097110,-83.69798420,238.00,7.04,180.15
42.30096310,-83.69798430,238.00,8.24,180.15
42.30095520,-83.69798430,238.00,8.00,180.15
42.30094720,-83.69798430,238.00,8.48,180.15
42.30093920,-83.69798440,238.00,8.00,180.15
42.30093110,-83.69798440,238.00,7.28,180.15
42.30092310,-83.69798440,238.00,8.95,180.15
42.30091510,-83.69798450,238.00,7.61,180.15
42.30090700,-83.69798450,238.00,6.09,180.15
42.30089890,-83.69798450,238.00,7.25,180.15
42.30089080,-83.69798450,238.00,6.01,180.15
42.30088270,-83.69798460,238.00,7.82,180.15
42.30087460,-83.69798460,238.00,8.29,180.15
42.30086650,-83.69798460,238.00,9.36,180.15
42.30085830,-83.69798470,238.00,8.00,180.15
42.30085020,-83.69798470,238.00,7.76,180.15
42.30084200,-83.69798470,238.00,7.84,180.15
42.30083380,-83.69798480,238.00,7.76,180.15
42.30082560,-83.69798480,238.00,8.85,180.15
42.30081740,-83.69798480,238.00,8.05,180.15
42.30080920,-83.69798480,238.00,8.00,180.15
42.30080100,-83.69798490,238.00,9.92,180.15
42.30079280,-83.69798490,238.00,8.00,180.15
42.30078460,-83.69798490,237.50,9.68,180.15
42.30077640,-83.69798500,237.50,8.00,180.15
42.30076820,-83.69798500,237.50,8.00,180.15
42.30076010,-83.69798500,237.50,7.20,180.15
42.30075200,-83.69798510,237.00,6.34,180.15
42.30074390,-83.69798510,237.00,7.67,180.15
42.30073580,-83.69798510,237.00,6.67,180.15
42.30072770,-83.69798510,237.00,5.87,180.15
42.30071960,-83.69798520,237.00,6.34,180.15
42.30071150,-83.69798520,237.00,5.64,180.15
42.30070350,-83.69798520,237.00,6.71,180.15
42.30069550,-83.69798530,237.00,7.52,180.15
42.30068750,-83.69798530,237.00,9.55,180.15
42.30067950,-83.69798530,237.00,8.40,180.15
42.30067150,-83.69798540,237.00,8.00,180.15
42.30066350,-83.69798540,237.00,6.56,180.15
42.30065560,-83.69798540,237.00,6.95,180.15
42.30064760,-83.69798540,237.00,8.21,180.15
42.30063970,-83.69798550,237.00,8.21,180.15
42.30063180,-83.69798550,237.00,8.00,180.15
42.30062390,-83.69798550,237.00,9.84,180.15
42.30061600,-83.69798560,237.00,8.95,180.15
42.30060810,-83.69798560,237.00,8.00,180.15
42.30060030,-83.69798560,237.00,8.64,180.15
42.30059240,-83.69798560,237.00,8.38,180.15
42.30058460,-83.69798570,237.00,9.64,180.15
42.30057680,-83.69798570,237.00,9.45,180.15
42.30056900,-83.69798570,237.00,8.00,180.15
42.30056120,-83.69798580,237.00,6.56,180.15
42.30055340,-83.69798580,237.00,7.15,180.15
42.30054570,-83.69798580,237.00,8.72,180.15
42.30053800,-83.69798580,237.00,9.86,180.15
42.30053020,-83.69798590,237.00,8.00,180.15
42.30052250,-83.69798590,237.00,8.24,180.15
42.30051480,-83.69798590,237.00,7.17,180.15
42.30050710,-83.69798600,237.00,7.89,180.15
42.30049950,-83.69798600,237.00,9.46,180.15
42.30049180,-83.69798600,237.00,8.14,180.01
42.30048420,-83.69798590,237.00,6.84,179.84
42.30047660,-83.69798580,237.00,6.63,179.71
42.30046900,-83.69798570,237.00,6.76,179.61
42.30046140,-83.69798560,237.00,6.90,179.53
42.30045380,-83.69798550,237.00,5.59,179.48
42.30044620,-83.69798540,237.00,4.75,179.43
42.30043870,-83.69798530,237.00,4.65,179.40
42.30043110,-83.69798520,237.00,4.42,179.37
42.30042360,-83.69798500,237.00,4.33,179.36
42.30041610,-83.69798490,237.00,5.37,179.34
42.30040860,-83.69798480,237.00,4.68,179.33
42.30040110,-83.69798470,237.00,4.72,179.32
42.30039370,-83.69798460,237.00,5.01,179.31
42.30038620,-83.69798440,237.00,4.30,179.31
42.30037880,-83.69798430,237.00,3.49,179.31
42.30037140,-83.69798420,237.00,2.96,179.30
42.30036400,-83.69798410,237.00,3.29,179.30
42.30035660,-83.69798390,237.00,3.45,179.30
